月,企業名,業種,案件数,依頼キーワード,エリア
2025-05,企業23,IT,0,AI,地域4
2025-05,企業24,製造,0,ロボティクス,地域1
2025-05,企業25,小売,4,農業,地域2
2025-05,企業26,小売,1,農業,地域5
2025-05,企業27,IT,0,環境,地域4
2025-05,企業28,製造,3,農業,地域2
2025-05,企業29,小売,5,バイオ,地域3
2025-05,企業30,金融,4,バイオ,地域3
2025-06,企業1,製造,0,農業,地域2
2025-06,企業2,IT,4,環境,地域3
2025-06,企業3,IT,2,バイオ,地域2
2025-06,企業4,金融,4,バイオ,地域2
2025-06,企業5,小売,0,ロボティクス,地域4
2025-06,企業6,製造,4,農業,地域5
2025-06,企業7,小売,1,材料,地域1
2025-06,企業8,小売,2,AI,地域5
2025-06,企業9,金融,0,ロボティクス,地域3
2025-06,企業10,教育,3,ロボティクス,地域5
2025-06,企業11,金融,4,ロボティクス,地域2
2025-06,企業12,IT,5,環境,地域3
2025-06,企業13,医療,2,環境,地域2
2025-06,企業14,金融,0,ロボティクス,地域4
2025-06,企業15,小売,2,材料,地域3
2025-06,企業16,製造,4,ロボティクス,地域2
2025-06,企業17,製造,0,バイオ,地域1
2025-06,企業18,製造,4,環境,地域4
2025-06,企業19,IT,5,AI,地域3
2025-06,企業20,金融,1,AI,地域5
2025-06,企業21,小売,2,材料,地域1
2025-06,企業22,小売,5,AI,地域5
2025-06,企業23,金融,2,環境,地域3
2025-06,企業24,小売,2,バイオ,地域1
2025-06,企業25,医療,2,ロボティクス,地域4
2025-06,企業26,IT,3,ロボティクス,地域3
2025-06,企業27,IT,5,バイオ,地域5
2025-06,企業28,教育,2,材料,地域5
2025-06,企業29,教育,4,バイオ,地域3
2025-06,企業30,金融,3,農業,地域4
2025-07,企業1,医療,1,農業,地域1
2025-07,企業2,教育,0,ロボティクス,地域4
2025-07,企業3,医療,3,ロボティクス,地域5
2025-07,企業4,IT,5,AI,地域1
2025-07,企業5,小売,0,農業,地域2
2025-07,企業6,IT,3,材料,地域1
2025-07,企業7,教育,0,農業,地域4
2025-07,企業8,製造,4,農業,地域4
2025-07,企業9,金融,5,AI,地域5
2025-07,企業10,医療,3,農業,地域3
2025-07,企業11,製造,3,ロボティクス,地域1
2025-07,企業12,金融,0,環境,地域1
2025-07,企業13,小売,1,農業,地域3
2025-07,企業14,教育,3,バイオ,地域1
2025-07,企業15,教育,5,バイオ,地域5
2025-07,企業16,IT,5,材料,地域1
2025-07,企業17,IT,5,材料,地域1
2025-07,企業18,医療,4,材料,地域2
2025-07,企業19,小売,2,ロボティクス,地域5
2025-07,企業20,金融,3,材料,地域5
2025-07,企業21,製造,2,バイオ,地域2
2025-07,企業22,IT,4,バイオ,地域4
2025-07,企業23,金融,3,農業,地域2
2025-07,企業24,小売,1,AI,地域1
2025-07,企業25,医療,1,ロボティクス,地域4
2025-07,企業26,金融,3,農業,地域5
2025-07,企業27,小売,0,農業,地域2
2025-07,企業28,教育,5,環境,地域3
2025-07,企業29,教育,2,環境,地域5
2025-07,企業30,医療,5,バイオ,地域5
2025-08,企業1,医療,0,農業,地域1
2025-08,企業2,金融,2,AI,地域1
2025-08,企業3,製造,2,材料,地域3
2025-08,企業4,製造,3,バイオ,地域1
2025-08,企業5,小売,0,AI,地域4
2025-08,企業6,金融,2,バイオ,地域4
2025-08,企業7,IT,0,材料,地域1
2025-08,企業8,医療,5,環境,地域2
2025-08,企業9,教育,2,ロボティクス,地域3
2025-08,企業10,製造,5,農業,地域4
2025-08,企業11,IT,3,農業,地域5
2025-08,企業12,金融,4,バイオ,地域4
2025-08,企業13,医療,4,バイオ,地域4
2025-08,企業14,小売,2,材料,地域1
2025-08,企業15,IT,1,ロボティクス,地域1
2025-08,企業16,小売,5,環境,地域1
2025-08,企業17,金融,5,ロボティクス,地域4
2025-08,企業18,IT,5,農業,地域1
2025-08,企業19,IT,4,ロボティクス,地域5
2025-08,企業20,金融,4,環境,地域3
2025-08,企業21,教育,2,バイオ,地域1
2025-08,企業22,IT,2,ロボティクス,地域4
2025-08,企業23,医療,2,AI,地域1
2025-08,企業24,製造,4,材料,地域2
2025-08,企業25,小売,1,材料,地域1
2025-08,企業26,医療,3,材料,地域5
2025-08,企業27,小売,3,バイオ,地域5
2025-08,企業28,製造,2,ロボティクス,地域3
2025-08,企業29,小売,3,ロボティクス,地域2
2025-08,企業30,小売,5,AI,地域1
2025-09,企業1,IT,1,ロボティクス,地域5
2025-09,企業2,IT,3,材料,地域3
2025-09,企業3,金融,1,バイオ,地域5
2025-09,企業4,金融,3,バイオ,地域4
2025-09,企業5,IT,2,バイオ,地域5
2025-09,企業6,製造,1,材料,地域4
2025-09,企業7,金融,3,材料,地域3
2025-09,企業8,小売,2,材料,地域3
2025-09,企業9,小売,1,農業,地域2
2025-09,企業10,医療,4,ロボティクス,地域4
2025-09,企業11,金融,5,農業,地域3
2025-09,企業12,製造,0,ロボティクス,地域1
2025-09,企業13,医療,2,ロボティクス,地域4
2025-09,企業14,IT,0,ロボティクス,地域5
2025-09,企業15,IT,4,農業,地域5
2025-09,企業16,医療,1,AI,地域5
2025-09,企業17,金融,1,AI,地域5
2025-09,企業18,教育,2,農業,地域1
2025-09,企業19,小売,3,環境,地域2
2025-09,企業20,医療,0,環境,地域4
2025-09,企業21,小売,2,材料,地域3
2025-09,企業22,製造,3,材料,地域4
2025-09,企業23,小売,5,農業,地域2
2025-09,企業24,製造,3,バイオ,地域2
2025-09,企業25,教育,4,農業,地域2
2025-09,企業26,医療,4,ロボティクス,地域4
2025-09,企業27,小売,2,農業,地域2
2025-09,企業28,小売,5,材料,地域5
2025-09,企業29,金融,0,バイオ,地域2
2025-09,企業30,金融,4,材料,地域2
2025-10,企業1,小売,4,材料,地域2
2025-10,企業2,小売,3,農業,地域2
2025-10,企業3,教育,3,ロボティクス,地域4
2025-10,企業4,IT,0,バイオ,地域3
2025-10,企業5,小売,5,材料,地域2
2025-10,企業6,小売,0,農業,地域4
2025-10,企業7,教育,2,農業,地域4
2025-10,企業8,教育,0,バイオ,地域5
2025-10,企業9,医療,0,材料,地域5
2025-10,企業10,金融,4,AI,地域4
2025-10,企業11,IT,2,バイオ,地域1
2025-10,企業12,小売,4,環境,地域1
2025-10,企業13,IT,5,バイオ,地域2
2025-10,企業14,小売,5,バイオ,地域2
2025-10,企業15,医療,1,AI,地域3
2025-10,企業16,IT,3,バイオ,地域3
2025-10,企業17,製造,2,材料,地域4
2025-10,企業18,医療,2,農業,地域4
2025-10,企業19,IT,5,農業,地域5
2025-10,企業20,IT,0,材料,地域5
2025-10,企業21,金融,2,材料,地域3
2025-10,企業22,医療,1,材料,地域4
2025-10,企業23,製造,0,材料,地域3
2025-10,企業24,IT,5,AI,地域2
2025-10,企業25,教育,0,ロボティクス,地域5
2025-10,企業26,教育,4,材料,地域3
2025-10,企業27,小売,4,農業,地域1
2025-10,企業28,製造,4,農業,地域3
2025-10,企業29,製造,2,バイオ,地域5
2025-10,企業30,小売,1,農業,地域5
2025-11,企業1,教育,0,バイオ,地域2
2025-11,企業2,金融,2,農業,地域1
2025-11,企業3,金融,2,AI,地域2
2025-11,企業4,小売,0,農業,地域1
2025-11,企業5,医療,0,ロボティクス,地域1
2025-11,企業6,金融,0,農業,地域2
2025-11,企業7,金融,1,材料,地域1
2025-11,企業8,教育,0,材料,地域4
2025-11,企業9,金融,4,AI,地域3
2025-11,企業10,IT,4,環境,地域4
2025-11,企業11,小売,4,農業,地域3
2025-11,企業12,製造,2,ロボティクス,地域5
2025-11,企業13,金融,4,材料,地域3
2025-11,企業14,医療,3,材料,地域4
2025-11,企業15,金融,4,バイオ,地域1
2025-11,企業16,金融,1,材料,地域3
2025-11,企業17,小売,0,バイオ,地域5
2025-11,企業18,製造,5,バイオ,地域4
2025-11,企業19,IT,1,環境,地域1
2025-11,企業20,教育,1,バイオ,地域2
2025-11,企業21,医療,0,農業,地域2
2025-11,企業22,金融,5,AI,地域2
2025-11,企業23,金融,2,AI,地域2
2025-11,企業24,医療,4,材料,地域1
2025-11,企業25,IT,0,バイオ,地域3
2025-11,企業26,小売,2,AI,地域3
2025-11,企業27,金融,1,環境,地域5
2025-11,企業28,金融,3,環境,地域4
2025-11,企業29,小売,5,材料,地域4
2025-11,企業30,小売,4,材料,地域3
2025-12,企業1,製造,0,ロボティクス,地域4
2025-12,企業2,金融,5,ロボティクス,地域1
2025-12,企業3,小売,3,ロボティクス,地域3
2025-12,企業4,医療,3,ロボティクス,地域1
2025-12,企業5,教育,4,ロボティクス,地域5
2025-12,企業6,IT,4,農業,地域3
2025-12,企業7,金融,4,農業,地域1
2025-12,企業8,IT,5,環境,地域5
2025-12,企業9,医療,1,環境,地域5
2025-12,企業10,小売,0,環境,地域3
2025-12,企業11,教育,0,材料,地域4
2025-12,企業12,IT,4,材料,地域5
2025-12,企業13,IT,2,AI,地域3
2025-12,企業14,医療,0,材料,地域4
2025-12,企業15,教育,1,農業,地域2
2025-12,企業16,小売,1,バイオ,地域4
2025-12,企業17,IT,0,ロボティクス,地域4
2025-12,企業18,医療,4,ロボティクス,地域1
2025-12,企業19,IT,3,材料,地域2
2025-12,企業20,小売,3,AI,地域5
2025-12,企業21,教育,5,バイオ,地域3
2025-12,企業22,製造,0,ロボティクス,地域1
2025-12,企業23,金融,4,環境,地域5
2025-12,企業24,IT,5,農業,地域3
2025-12,企業25,IT,2,農業,地域4
2025-12,企業26,小売,1,材料,地域2
2025-12,企業27,製造,5,環境,地域4
2025-12,企業28,小売,4,AI,地域2
2025-12,企業29,IT,2,バイオ,地域2
2025-12,企業30,金融,1,ロボティクス,地域3
2026-01,企業1,教育,4,材料,地域3
2026-01,企業2,小売,4,AI,地域2
2026-01,企業3,IT,0,ロボティクス,地域4
2026-01,企業4,小売,2,環境,地域1
2026-01,企業5,製造,1,AI,地域2
2026-01,企業6,製造,5,環境,地域3
2026-01,企業7,IT,0,環境,地域1
2026-01,企業8,金融,1,バイオ,地域5
2026-01,企業9,金融,1,ロボティクス,地域2
2026-01,企業10,教育,4,農業,地域5
2026-01,企業11,小売,0,環境,地域3
2026-01,企業12,教育,2,AI,地域3
2026-01,企業13,教育,3,バイオ,地域5
2026-01,企業14,IT,4,ロボティクス,地域5
2026-01,企業15,金融,5,ロボティクス,地域5
2026-01,企業16,金融,4,環境,地域5
2026-01,企業17,製造,5,バイオ,地域1
2026-01,企業18,医療,3,ロボティクス,地域1
2026-01,企業19,金融,1,材料,地域2
2026-01,企業20,小売,3,バイオ,地域3
2026-01,企業21,小売,2,AI,地域5
2026-01,企業22,教育,1,AI,地域3
2026-01,企業23,製造,5,材料,地域3
2026-01,企業24,教育,4,農業,地域3
2026-01,企業25,製造,0,AI,地域4
2026-01,企業26,金融,3,環境,地域2
2026-01,企業27,教育,0,環境,地域5
2026-01,企業28,IT,1,AI,地域3
2026-01,企業29,IT,3,農業,地域5
2026-01,企業30,IT,2,環境,地域5
2026-02,企業1,製造,2,AI,地域1
2026-02,企業2,製造,0,AI,地域3
2026-02,企業3,医療,4,バイオ,地域5
2026-02,企業4,IT,4,AI,地域1
2026-02,企業5,小売,5,材料,地域1
2026-02,企業6,医療,2,環境,地域2
2026-02,企業7,教育,5,バイオ,地域3
2026-02,企業8,金融,3,AI,地域2
2026-02,企業9,小売,5,農業,地域5
2026-02,企業10,金融,5,材料,地域5
2026-02,企業11,製造,1,AI,地域5
2026-02,企業12,金融,1,材料,地域2
2026-02,企業13,製造,4,環境,地域4
2026-02,企業14,教育,0,材料,地域3
2026-02,企業15,教育,0,農業,地域5
2026-02,企業16,教育,5,材料,地域4
2026-02,企業17,製造,3,環境,地域4
2026-02,企業18,医療,4,農業,地域5
2026-02,企業19,製造,4,AI,地域2
2026-02,企業20,教育,0,AI,地域1
2026-02,企業21,金融,5,農業,地域4
2026-02,企業22,製造,1,材料,地域3
2026-02,企業23,医療,0,ロボティクス,地域3
2026-02,企業24,金融,0,環境,地域2
2026-02,企業25,製造,3,バイオ,地域3
2026-02,企業26,製造,0,ロボティクス,地域2
2026-02,企業27,金融,4,バイオ,地域2
2026-02,企業28,小売,2,環境,地域1
2026-02,企業29,金融,3,ロボティクス,地域2
2026-02,企業30,製造,2,農業,地域2
2026-03,企業1,医療,3,環境,地域1
2026-03,企業2,製造,2,ロボティクス,地域1
2026-03,企業3,教育,4,バイオ,地域2
2026-03,企業4,小売,3,農業,地域2
2026-03,企業5,IT,2,環境,地域3
2026-03,企業6,小売,3,農業,地域1
2026-03,企業7,医療,5,環境,地域2
2026-03,企業8,教育,1,ロボティクス,地域4
2026-03,企業9,教育,4,AI,地域2
2026-03,企業10,小売,4,バイオ,地域4
2026-03,企業11,製造,0,農業,地域5
2026-03,企業12,金融,3,材料,地域3
2026-03,企業13,IT,1,AI,地域3
2026-03,企業14,教育,3,バイオ,地域5
2026-03,企業15,金融,5,ロボティクス,地域3
2026-03,企業16,医療,4,環境,地域4
2026-03,企業17,小売,1,ロボティクス,地域1
2026-03,企業18,医療,5,材料,地域3
2026-03,企業19,医療,2,バイオ,地域3
2026-03,企業20,医療,0,AI,地域1
2026-03,企業21,医療,4,バイオ,地域3
2026-03,企業22,金融,0,ロボティクス,地域2
2026-03,企業23,教育,2,AI,地域5
2026-03,企業24,小売,4,ロボティクス,地域5
2026-03,企業25,教育,0,材料,地域1
2026-03,企業26,製造,4,ロボティクス,地域2
2026-03,企業27,医療,2,環境,地域4
2026-03,企業28,金融,4,ロボティクス,地域5
2026-03,企業29,教育,2,ロボティクス,地域5
2026-03,企業30,製造,0,農業,地域4
2026-04,企業1,教育,3,AI,地域3
2026-04,企業2,IT,4,材料,地域4
2026-04,企業3,IT,2,環境,地域4
2026-04,企業4,IT,1,AI,地域2
2026-04,企業5,IT,4,環境,地域5
2026-04,企業6,教育,0,農業,地域3
2026-04,企業7,IT,1,農業,地域1
2026-04,企業8,教育,0,バイオ,地域3
2026-04,企業9,医療,2,材料,地域3
2026-04,企業10,IT,5,材料,地域4
2026-04,企業11,教育,3,環境,地域1
2026-04,企業12,小売,1,AI,地域2
2026-04,企業13,製造,3,AI,地域2
2026-04,企業14,小売,1,材料,地域5
2026-04,企業15,小売,0,材料,地域4
2026-04,企業16,医療,1,バイオ,地域2
2026-04,企業17,金融,3,バイオ,地域3
2026-04,企業18,製造,2,ロボティクス,地域2
2026-04,企業19,小売,0,ロボティクス,地域1
2026-04,企業20,小売,4,バイオ,地域3
2026-04,企業21,IT,4,ロボティクス,地域3
2026-04,企業22,教育,0,ロボティクス,地域1
2026-04,企業23,医療,3,環境,地域2
2026-04,企業24,教育,2,農業,地域2
2026-04,企業25,教育,5,バイオ,地域4
2026-04,企業26,医療,2,ロボティクス,地域2
2026-04,企業27,小売,2,農業,地域2
2026-04,企業28,IT,3,材料,地域5
2026-04,企業29,教育,5,材料,地域3
2026-04,企業30,製造,3,バイオ,地域3
2026-05,企業1,小売,1,AI,地域5
2026-05,企業2,小売,2,バイオ,地域4
2026-05,企業3,小売,5,ロボティクス,地域3
2026-05,企業4,医療,1,環境,地域4
2026-05,企業5,小売,3,材料,地域5
2026-05,企業6,製造,4,材料,地域2
2026-05,企業7,医療,3,バイオ,地域1
2026-05,企業8,小売,1,バイオ,地域5
2026-05,企業9,小売,0,バイオ,地域3
2026-05,企業10,製造,5,ロボティクス,地域2
2026-05,企業11,教育,3,材料,地域2
2026-05,企業12,小売,0,材料,地域4
2026-05,企業13,IT,1,環境,地域1
2026-05,企業14,小売,2,材料,地域2
2026-05,企業15,製造,5,材料,地域2
2026-05,企業16,小売,2,材料,地域4
2026-05,企業17,医療,4,材料,地域2
2026-05,企業18,IT,1,材料,地域4
2026-05,企業19,製造,4,バイオ,地域4
2026-05,企業20,医療,0,農業,地域5
2026-05,企業21,教育,3,AI,地域2
2026-05,企業22,IT,0,ロボティクス,地域4
2026-05,企業23,金融,4,環境,地域4
2026-05,企業24,教育,3,ロボティクス,地域3
2026-05,企業25,金融,2,AI,地域2
2026-05,企業26,医療,1,農業,地域5
2026-05,企業27,教育,0,材料,地域2
2026-05,企業28,小売,2,環境,地域4
2026-05,企業29,教育,3,農業,地域2
2026-05,企業30,小売,2,環境,地域4
2026-06,企業1,IT,4,バイオ,地域3
2026-06,企業2,IT,1,材料,地域3
2026-06,企業3,教育,2,農業,地域1
2026-06,企業4,IT,3,環境,地域5
2026-06,企業5,医療,1,バイオ,地域2
2026-06,企業6,金融,0,材料,地域4
2026-06,企業7,教育,3,環境,地域1
2026-06,企業8,小売,4,ロボティクス,地域4
2026-06,企業9,教育,1,農業,地域1
2026-06,企業10,金融,0,環境,地域3
2026-06,企業11,製造,2,環境,地域2
2026-06,企業12,小売,4,ロボティクス,地域3
2026-06,企業13,小売,4,環境,地域4
2026-06,企業14,金融,4,材料,地域4
2026-06,企業15,教育,5,農業,地域3
2026-06,企業16,製造,2,AI,地域3
2026-06,企業17,金融,2,バイオ,地域1
2026-06,企業18,金融,1,ロボティクス,地域2
2026-06,企業19,金融,0,材料,地域5
2026-06,企業20,金融,0,農業,地域1
2026-06,企業21,小売,1,材料,地域2
2026-06,企業22,教育,1,材料,地域4
2026-06,企業23,IT,5,AI,地域5
2026-06,企業24,金融,3,AI,地域1
2026-06,企業25,製造,0,AI,地域1
2026-06,企業26,教育,0,材料,地域2
2026-06,企業27,金融,1,バイオ,地域1
2026-06,企業28,医療,2,バイオ,地域2
2026-06,企業29,医療,0,材料,地域2
2026-06,企業30,金融,4,材料,地域5
2026-07,企業1,金融,5,材料,地域2
2026-07,企業2,小売,4,農業,地域2
2026-07,企業3,小売,3,AI,地域4
2026-07,企業4,小売,4,農業,地域5
2026-07,企業5,医療,5,AI,地域3
2026-07,企業6,製造,4,材料,地域5
2026-07,企業7,製造,0,AI,地域3
2026-07,企業8,小売,0,農業,地域5
2026-07,企業9,教育,1,農業,地域1
2026-07,企業10,小売,1,ロボティクス,地域3
2026-07,企業11,IT,0,ロボティクス,地域4
2026-07,企業12,小売,5,AI,地域4
2026-07,企業13,教育,5,AI,地域2
2026-07,企業14,IT,2,バイオ,地域3
2026-07,企業15,製造,4,農業,地域1
2026-07,企業16,製造,0,バイオ,地域4
2026-07,企業17,IT,3,材料,地域5
2026-07,企業18,IT,3,ロボティクス,地域4
2026-07,企業19,金融,3,環境,地域1
2026-07,企業20,金融,5,農業,地域3
2026-07,企業21,小売,3,環境,地域3
2026-07,企業22,小売,2,農業,地域2
2026-07,企業23,教育,4,農業,地域5
2026-07,企業24,製造,0,ロボティクス,地域3
2026-07,企業25,医療,1,バイオ,地域1
2026-07,企業26,教育,2,AI,地域5
2026-07,企業27,医療,0,材料,地域3
2026-07,企業28,小売,1,材料,地域2
2026-07,企業29,教育,3,AI,地域1
2026-07,企業30,金融,5,バイオ,地域3
2026-08,企業1,金融,5,材料,地域5
2026-08,企業2,小売,2,農業,地域2
2026-08,企業3,教育,0,農業,地域4
2026-08,企業4,IT,1,ロボティクス,地域1
2026-08,企業5,医療,1,ロボティクス,地域5
2026-08,企業6,製造,1,材料,地域2
2026-08,企業7,製造,0,環境,地域4
2026-08,企業8,IT,4,材料,地域2
2026-08,企業9,教育,0,AI,地域3
2026-08,企業10,教育,3,ロボティクス,地域3
2026-08,企業11,製造,3,AI,地域3
2026-08,企業12,製造,2,AI,地域1
2026-08,企業13,教育,3,バイオ,地域1
2026-08,企業14,IT,0,ロボティクス,地域2
2026-08,企業15,製造,5,農業,地域1
2026-08,企業16,小売,3,農業,地域4
2026-08,企業17,製造,3,材料,地域2
2026-08,企業18,IT,5,ロボティクス,地域3
2026-08,企業19,小売,0,ロボティクス,地域4
2026-08,企業20,IT,1,ロボティクス,地域5
2026-08,企業21,小売,1,材料,地域2
2026-08,企業22,金融,0,ロボティクス,地域3
2026-08,企業23,教育,4,AI,地域3
2026-08,企業24,IT,5,農業,地域4
2026-08,企業25,医療,4,農業,地域3
2026-08,企業26,IT,1,AI,地域5
2026-08,企業27,IT,1,バイオ,地域5
2026-08,企業28,製造,3,ロボティクス,地域4
2026-08,企業29,IT,1,AI,地域3
2026-08,企業30,小売,2,環境,地域3
2026-09,企業1,小売,4,農業,地域1
2026-09,企業2,小売,3,AI,地域4
2026-09,企業3,IT,5,材料,地域2
2026-09,企業4,金融,1,環境,地域3
2026-09,企業5,IT,4,農業,地域5
2026-09,企業6,IT,5,環境,地域1
2026-09,企業7,小売,5,材料,地域1
2026-09,企業8,金融,5,ロボティクス,地域2
2026-09,企業9,製造,5,バイオ,地域3
2026-09,企業10,小売,1,材料,地域1
2026-09,企業11,IT,4,材料,地域1
2026-09,企業12,医療,5,農業,地域2
2026-09,企業13,IT,2,バイオ,地域4
2026-09,企業14,IT,2,環境,地域4
2026-09,企業15,教育,4,農業,地域1
2026-09,企業16,教育,5,AI,地域2
2026-09,企業17,小売,1,バイオ,地域4
2026-09,企業18,教育,2,AI,地域4
2026-09,企業19,金融,0,バイオ,地域5
2026-09,企業20,金融,1,ロボティクス,地域3
2026-09,企業21,医療,2,ロボティクス,地域2
2026-09,企業22,金融,3,バイオ,地域3
2026-09,企業23,製造,3,AI,地域3
2026-09,企業24,小売,5,農業,地域5
2026-09,企業25,金融,5,AI,地域4
2026-09,企業26,金融,0,環境,地域4
2026-09,企業27,教育,4,環境,地域2
2026-09,企業28,金融,1,ロボティクス,地域5
2026-09,企業29,製造,1,ロボティクス,地域2
2026-09,企業30,金融,0,材料,地域5
2026-10,企業1,小売,1,バイオ,地域2
2026-10,企業2,医療,3,農業,地域5
2026-10,企業3,金融,0,環境,地域4
